split,model,amount,level,metric,value,pvalue
2,BVCC-SOMOS,30,Utterance,LCC,0.8101104560134549,8.487217853429462e-27
2,BVCC-SOMOS,30,Utterance,SRCC,0.7687449141008051,1.072999882653934e-22
2,BVCC-SOMOS,30,Utterance,KTAU,0.5756236102521863,5.027191756400411e-19
2,BVCC-SOMOS,30,System,LCC,0.8951137567666018,0.0001968416250399
2,BVCC-SOMOS,30,System,SRCC,0.6636363636363638,0.0259841339187655
2,BVCC-SOMOS,30,System,KTAU,0.4909090909090909,0.0405323573031906
2,BVCC-SOMOS,40,Utterance,MSE,0.2894840095658816,NaN
2,BVCC-SOMOS,40,System,MSE,0.1525740878689915,NaN
2,BVCC-SOMOS,40,Utterance,LCC,0.7880038866035669,1.7175905346676088e-24
2,BVCC-SOMOS,40,Utterance,SRCC,0.7765172092949182,2.1253894030625697e-23
2,BVCC-SOMOS,40,Utterance,KTAU,0.5802953381035084,2.6111823350715987e-19
2,BVCC-SOMOS,40,System,LCC,0.8328856392764244,0.001457770519438
2,BVCC-SOMOS,40,System,SRCC,0.7000000000000001,0.0164709788365144
2,BVCC-SOMOS,40,System,KTAU,0.5636363636363636,0.0165405042488375
3,BVCC,0,Utterance,MSE,1.0770503556358362,NaN
3,BVCC,0,System,MSE,0.5370972622891531,NaN
3,BVCC,0,Utterance,LCC,-0.2041483200146556,0.0324154241197177
3,BVCC,0,Utterance,SRCC,-0.2024678445439427,0.0338995218338888
3,BVCC,0,Utterance,KTAU,-0.1359919982285357,0.0352716058186841
3,BVCC,0,System,LCC,-0.1953165642282839,0.5649297872437847
3,BVCC,0,System,SRCC,0.3272727272727273,0.3258949410128416
3,BVCC,0,System,KTAU,0.2363636363636363,0.3587114698573032
3,BVCC,10,Utterance,MSE,0.4561100475867465,NaN
3,BVCC,10,System,MSE,0.1944690548630571,NaN
3,BVCC,10,Utterance,LCC,0.6069336495953087,2.087365929719919e-12
3,BVCC,10,Utterance,SRCC,0.5644439235080422,1.3438381978047628e-10
3,BVCC,10,Utterance,KTAU,0.4129818351111975,1.6247912730619022e-10
3,BVCC,10,System,LCC,0.9114765694769378,9.401574299954096e-05
3,BVCC,10,System,SRCC,0.2363636363636363,0.4840911622253965
3,BVCC,10,System,KTAU,0.1636363636363636,0.5422593494468494
3,BVCC,20,Utterance,MSE,0.2297437982117335,NaN
3,BVCC,20,System,MSE,0.1259489536520248,NaN
3,BVCC,20,Utterance,LCC,0.8202649545761699,5.831864972586433e-28
3,BVCC,20,Utterance,SRCC,0.7552217408664486,1.5519707397589729e-21
3,BVCC,20,Utterance,KTAU,0.5725012833400076,7.815866447774824e-19
3,BVCC,20,System,LCC,0.83312422692723,0.0014489558563336
3,BVCC,20,System,SRCC,0.1454545454545454,0.6695786456420787
3,BVCC,20,System,KTAU,0.0909090909090909,0.7611503928170594
3,BVCC,30,Utterance,MSE,0.1904922851983032,NaN
3,BVCC,30,System,MSE,0.085434104835825,NaN
3,BVCC,30,Utterance,LCC,0.8535676184451876,2.33553477884703e-32
3,BVCC,30,Utterance,SRCC,0.7637289068128841,2.9511911239131342e-22
3,BVCC,30,Utterance,KTAU,0.5771734010705585,4.0739020935665794e-19
3,BVCC,30,System,LCC,0.8756235910134369,0.0004116661812261
3,BVCC,30,System,SRCC,0.1363636363636363,0.6893090205863619
3,BVCC,30,System,KTAU,0.0909090909090909,0.7611503928170594
3,BVCC,40,Utterance,MSE,0.181768004356531,NaN
3,BVCC,40,System,MSE,0.1061088586764176,NaN
3,BVCC,40,Utterance,LCC,0.8607548537748476,1.8850005776181076e-33
3,BVCC,40,Utterance,SRCC,0.8044523991256302,3.522760450248846e-26
3,BVCC,40,Utterance,KTAU,0.6172201244752806,1.2371955718926924e-21
3,BVCC,40,System,LCC,0.8642661133776196,0.0005996533437327
3,BVCC,40,System,SRCC,0.1454545454545454,0.6695786456420787
3,BVCC,40,System,KTAU,0.0909090909090909,0.7611503928170594
3,SOMOS,0,Utterance,MSE,0.7522082429590902,NaN
3,SOMOS,0,System,MSE,0.3303151299372325,NaN
3,SOMOS,0,Utterance,LCC,0.0747720720072422,0.4375451546786762
3,SOMOS,0,Utterance,SRCC,0.0563267256676023,0.5589004703608305
3,SOMOS,0,Utterance,KTAU,0.031870517376258,0.621749709887504
3,SOMOS,0,System,LCC,0.2484492875932778,0.4613282168684488
3,SOMOS,0,System,SRCC,0.2363636363636363,0.4840911622253965
3,SOMOS,0,System,KTAU,0.1636363636363636,0.5422593494468494
3,SOMOS,10,Utterance,MSE,0.4233530987374578,NaN
3,SOMOS,10,System,MSE,0.181660793853931,NaN
3,SOMOS,10,Utterance,LCC,0.6524549749681434,1.1431299024994172e-14
3,SOMOS,10,Utterance,SRCC,0.6474011893163942,2.1284762159559213e-14
